Name,ID,DaysSurvived,Status,Type,Price,AvgRate,NumRate,Category,Size,NumLang,AgeRate,SysRequirements
Oddworld: Stranger's Wrath Oddworld Inhabitants Inc 923555295,923555295,9,1,paid,2.99,4.5,611,Games,687.1400642,10,12+,med
The Amazing Spider-Man 2 Gameloft 779561331,779561331,10,1,paid,6.99,4,6976,Games,668.8066483,16,12+,med
WWE 2K 2K 909349642,909349642,234,1,paid,7.99,4,956,Games,662.6275139,7,12+,med
Valiant Hearts: The Great War Ubisoft 840190360,840190360,5,1,paid,0,4.5,3394,Games,630.2294674,11,12+,med
iMovie Apple 377298193,377298193,362,1,free,0,3.5,25439,Photo & Video,616.4939289,32,04+,high
"Essential Anatomy 5 3D4Medical.com, LLC 596684220",596684220,12,1,paid,24.99,4.5,2026,other,614.8215437,1,12+,med
Battle Supremacy Atypical Games 725222149,725222149,5,1,paid,4.99,4,2809,Games,612.0598049,10,12+,med
Star Wars_: Uprising Kabam 921795947,921795947,4,1,free,0,4.5,7432,Games,607.5519991,8,12+,med
Need for Speed_ Most Wanted Electronic Arts 540925164,540925164,5,1,paid,4.99,4,6360,Games,607.0479565,11,04+,low
Hail to the King: Deathbat Avenged Sevenfold 883491618,883491618,7,1,paid,4.99,4.5,589,Games,602.0344973,1,12+,med
GarageBand Apple 408709785,408709785,360,1,free,0,4,21588,other,599.1917286,31,04+,high
Spider: Rite of the Shrouded Moon Tiger Style 767546279,767546279,7,1,paid,4.99,4.5,106,Games,587.7730474,1,09+,med
CHRONO TRIGGER SQUARE ENIX INC 479431697,479431697,1,1,paid,9.99,3.5,1345,Games,586.5413885,9,09+,med
Lost Within Amazon Game Studios 980274086,980274086,6,1,paid,6.99,4.5,332,Games,585.7442131,9,12+,high
"Warhammer 40,000: Space Wolf HeroCraft Ltd. 840103145",840103145,1,1,free,0,3.5,1792,Games,585.2576952,9,12+,med
Snowboard Party Ratrod Studio 922316241,922316241,9,1,paid,1.99,4.5,146,Games,580.4990244,10,04+,med
RollerCoaster Tycoon• 3 Frontier Developments Ltd 1008692660,1008692660,16,1,paid,4.99,4,593,Games,555.436657,6,04+,med
Heroes and Castles 2 Foursaken Media 911781335,911781335,9,1,paid,1.99,4.5,1476,Games,552.6590128,1,12+,med
Sky Gamblers: Storm Raiders Atypical Games 574375380,574375380,11,1,paid,4.99,4.5,18046,Games,552.6246815,10,12+,low
Bastion Warner Bros. 537773100,537773100,1,1,paid,4.99,4.5,13769,Games,552.4762468,1,12+,low
"999: The Novel Aksys Games Localization, Inc. 741073964",741073964,1,1,paid,4.99,4.5,94,other,541.8050137,1,17+,low
Fast & Furious: Legacy Kabam 914089055,914089055,26,1,free,0,4.5,16820,Games,522.904747,10,12+,med
World of Warriors Mind Candy Ltd 793076829,793076829,9,1,free,0,4.5,95336,Games,520.311801,7,12+,med
MARVEL Future Fight Netmarble Games Corp. 955705796,955705796,9,1,free,0,4.5,7610,Games,515.9272356,14,09+,med
Team Umizoomi Math: Zoom into Numbers Nickelodeon 477560499,477560499,5,1,paid,3.99,3,899,other,515.7599287,2,04+,low
Walking Dead: The Game - Season 2 Telltale Inc 741183306,741183306,5,1,paid,0,4,3882,Games,507.5772047,1,17+,med
Overkill 3 Craneballs s.r.o. 874866593,874866593,6,1,free,0,4.5,2776,Games,498.1505527,6,17+,med
Uncanny X-Men: Days of Future Past GlitchSoft 842627890,842627890,2,1,paid,0.99,4.5,2033,Games,492.0233335,1,09+,low
The Sims_ FreePlay Electronic Arts 466965151,466965151,11,1,free,0,4,346676,Games,491.1084595,11,12+,low
FINAL FANTASY VI SQUARE ENIX INC 719401490,719401490,2,1,paid,15.99,4.5,2338,Games,487.9048872,12,09+,med
Robbery Bob 2: Double Trouble Chillingo Ltd 981819100,981819100,1,1,paid,2.99,4.5,110,Games,479.162528,5,09+,med
EA SPORTS_ UFC• Electronic Arts 900721327,900721327,244,1,free,0,4.5,10180,Games,472.3621168,10,12+,med
Driver Speedboat Paradise Ubisoft 891665277,891665277,6,1,free,0,4.5,2618,Games,464.8106165,11,12+,med
Grand Theft Auto III Rockstar Games 479662730,479662730,16,1,paid,2.99,4,25105,Games,464.5656557,5,17+,low
I am Bread Bossa Studios Ltd 946903436,946903436,11,1,paid,4.99,4,281,Games,460.0595675,8,04+,high
Castle of Illusion Starring Mickey Mouse Disney 646489967,646489967,1,1,paid,9.99,4,687,Games,458.7825432,6,09+,med
LEGO Harry Potter: Years 1-4 Warner Bros. 404086528,404086528,2,1,paid,4.99,4,9480,Games,453.6606579,1,09+,low
Dora Appisodes Nickelodeon 664907712,664907712,1,1,paid,3.99,3.5,18,other,449.7703342,1,04+,med
Pixel Gun 3D Alex Krasnov 640111933,640111933,1,1,free,0,4.5,191032,Games,446.3663673,1,17+,med
Keynote Apple 361285480,361285480,362,1,free,0,3.5,8592,other,441.645792,29,04+,high
EPOCH.2 Uppercut Games Pty Ltd 660982355,660982355,4,1,paid,0.99,4.5,3306,Games,430.4819927,12,09+,med
The Human Body by Tinybop Tinybop Inc. 682046579,682046579,13,1,paid,3.99,4,1706,other,429.4519739,60,04+,med
Civilization Revolution 2 2K 864880531,864880531,3,1,paid,9.99,4,3178,Games,422.088356,6,12+,med
Hitman GO SQUARE ENIX INC 731645633,731645633,52,1,paid,4.99,4.5,6752,Games,420.8192825,1,17+,med
American Express Unstaged: Taylor Swift Experience American Express 933296264,933296264,2,1,free,0,4.5,1005,other,419.4866304,1,12+,med
CSR Racing NaturalMotion 469369175,469369175,93,1,free,0,4.5,663909,Games,417.1434164,10,04+,med
Exiles Crescent Moon Games 927443601,927443601,1,1,paid,4.99,2.5,144,Games,416.8673744,1,12+,high
"Battleheart Legacy Mika Mobile, Inc. 666508823",666508823,9,1,paid,4.99,4.5,3030,Games,414.2125607,1,12+,low
The Executive Riverman Media LLC 552227993,552227993,8,1,paid,4.99,4.5,337,Games,412.0338478,5,09+,med
Sons of Anarchy: The Prospect Orpheus Interactive Inc. 935033055,935033055,171,1,paid,1.99,2,1203,Games,410.1827164,1,17+,med
Frozen: Storybook Deluxe - Now with Frozen Fever! Disney 610955645,610955645,6,1,paid,5.99,3.5,874,Entertainment,408.8010817,7,04+,med
Lara Croft GO SQUARE ENIX INC 971304016,971304016,11,1,paid,4.99,4.5,1951,Games,396.3673429,1,09+,med
MARVEL Contest of Champions Kabam 896112560,896112560,107,1,free,0,4.5,117221,Games,387.4962187,10,12+,med
NBA JAM by EA SPORTS_ Electronic Arts 402370879,402370879,2,1,paid,0.99,4,19693,Games,372.4705734,8,04+,med
The Everything Machine by Tinybop Tinybop Inc. 1001244846,1001244846,8,1,paid,2.99,4.5,77,other,362.1431007,60,04+,high
Jurassic World_: The Game Ludia 791211390,791211390,243,1,free,0,4.5,85473,Games,361.6101933,10,04+,med
Mini Motor Racing The Binary Mill 426860241,426860241,2,1,free,0,5,25915,Games,356.3608608,1,04+,low
Terminator Genisys: Revolution Glu Games Inc 958680034,958680034,5,1,free,0,4,1613,Games,345.199296,13,17+,med
Nighty Night Circus - bedtime story & lullaby for kids Fox and Sheep GmbH 931936670,931936670,7,1,paid,2.99,4.5,180,other,344.3835239,14,04+,med
Buddyman_ Kick (by Kick the Buddy) Crazylion Studios Limited 944636116,944636116,176,1,paid,0.99,4.5,266,Games,344.3459482,1,12+,med
The Photo Cookbook _ Quick & Easy ditter.projektagentur GmbH 374473999,374473999,2,1,free,0,4,1349,other,339.6449928,9,04+,low
Kritika: The White Knights GAMEVIL Inc. 865958296,865958296,1,1,free,0,4.5,3898,Games,338.3261185,13,12+,med
Frozen Story Theater Disney 960436333,960436333,8,1,paid,4.99,4.5,63,Entertainment,333.9593735,7,04+,med
Star Warfare 2: Payback Freyr Games 888211509,888211509,4,1,free,0,4.5,3002,Games,333.3682775,7,17+,med
Microsoft Word Microsoft Corporation 586447913,586447913,81,1,free,0,4,23530,other,330.1045599,31,04+,high
Epic War TD 2 AMT Games Inc. 765482338,765482338,2,1,paid,2.99,4,314,Games,329.9076872,1,12+,med
Nitro Nation Online Osauhing Creative Mobile 985158853,985158853,7,1,free,0,4.5,3570,Games,327.2094793,1,04+,med
Kick the Buddy: Second Kick Crazylion Studios Limited 511459648,511459648,90,1,paid,1.99,4.5,42141,Games,320.8460693,1,12+,med
R.B.I. Baseball 14 MLB.com 783753727,783753727,2,1,paid,4.99,3,4282,Games,320.6664782,1,04+,med
Buddyman_ Kick 2 (by Kick the Buddy) Crazylion Studios Limited 946068239,946068239,314,1,paid,0.99,4.5,125,Games,319.0953703,1,12+,med
"MLB Perfect Inning 15 GAMEVIL USA, Inc. 956622914",956622914,5,1,free,0,4,5206,Games,318.1956749,7,04+,med
Microsoft Excel Microsoft Corporation 586683407,586683407,10,1,free,0,4.5,10910,other,314.1843777,31,04+,high
Asphalt Overdrive Gameloft 596399782,596399782,9,1,free,0,4,2436,Games,310.2091894,15,12+,med
Battle Riders - Car Combat Racing Valentin Ciampuru 889041614,889041614,4,1,paid,4.99,4.5,138,Games,309.8283701,1,09+,low
SBK15 - Official Mobile Game Digital Tales 1008035618,1008035618,7,1,free,0,4.5,1063,Games,307.2489614,5,04+,med
Space Marshals Pixelbite 834315918,834315918,7,1,paid,4.99,4.5,1346,Games,306.3238888,9,12+,med
Green Kitchen _ healthy vegetarian recipes Amazing Applications AB 466252999,466252999,4,1,paid,4.99,4,212,other,305.4018087,6,04+,high
Formula Cartoon All-Stars _ Crazy Cart Racing with Your Favorite Cartoon Network Characters Cartoon Network 645675002,645675002,12,1,paid,2.99,4,125,Games,304.5108032,1,04+,low
Hitman: Sniper SQUARE ENIX INC 904278510,904278510,298,1,paid,4.99,4.5,2996,Games,304.4656725,1,17+,high
Perfect Shift Lextre 679100198,679100198,6,1,free,0,4,291,Games,302.3732319,1,04+,med
"Foundations Memory Work Tutorials, Cycle 3 Classical Conversations 501527692",501527692,3,1,paid,15.99,4,110,other,300.9581394,1,04+,low
The Sleeping Prince: Royal Edition Signal Mobile LLC 642606469,642606469,1,1,free,0,4,626,Games,299.6625032,1,09+,med
Sorcery! 3 inkle 978352903,978352903,3,1,paid,4.99,4.5,124,Games,297.7712507,1,12+,med
To-Fu Fury Amazon Game Studios 980132410,980132410,7,1,paid,1.99,4.5,196,Games,297.3518047,8,09+,high
Card Wars - Adventure Time Card Game Cartoon Network 791341471,791341471,8,1,free,0,3.5,11472,Games,296.7159081,6,09+,med
Card Wars - Adventure Time Card Game Cartoon Network 791341471,791341471,3,1,paid,3.99,3.5,11472,Games,296.7159081,6,09+,med
The Price is Right_ Decades Ludia 474205928,474205928,7,1,paid,0.99,4,7459,Games,296.2434807,1,04+,low
Microsoft PowerPoint Microsoft Corporation 586449534,586449534,10,1,free,0,4,5788,other,293.9350634,31,04+,high
AG Drive ZORG 789356890,789356890,175,1,paid,3.99,4,505,Games,293.538065,1,04+,med
NHL 2K 2K 863269602,863269602,56,1,paid,2.99,4,878,Games,293.1567726,2,12+,med
Guns GirlZ - For Ragnar_k 4inch Technology Limited 882426909,882426909,11,1,free,0,4,437,Games,292.2493887,1,17+,low
SpongeBob's Game Frenzy Nickelodeon 948958859,948958859,313,1,paid,2.99,4,169,Games,289.2062807,3,04+,med
"Call of Duty: Black Ops Zombies Activision Publishing, Inc. 471063940",471063940,117,1,paid,6.99,4,109971,Games,286.6813869,1,17+,low
Buddyman: Kick (by Kick the Buddy) Crazylion Studios Limited 606368957,606368957,20,1,free,0,4.5,7594,Games,286.2417746,1,12+,med
Buddyman: Kick (by Kick the Buddy) Crazylion Studios Limited 606368957,606368957,18,1,paid,0.99,4.5,7596,Games,286.2417746,1,12+,med
Sleep Pillow Sounds: white noise machine app Clear Sky Apps LTD 410351918,410351918,6,1,paid,1.99,4.5,11758,other,286.0426006,1,04+,med
iBomber 3 Cobra Mobile Limited 912742680,912742680,6,1,paid,2.99,4,186,Games,280.8217878,1,09+,med
Evolve: Hunters Quest 2K 879300890,879300890,4,1,free,0,4,1161,Games,279.2105932,10,17+,med
Rockstars of Ooo - Adventure Time Rhythm Game Cartoon Network 943632624,943632624,6,1,paid,1.99,4,36,Games,278.0892649,10,04+,med
Don't Starve: Pocket Edition Klei Entertainment 1012298403,1012298403,11,1,paid,4.99,3,1886,Games,274.3377504,1,09+,high
The Room Two Fireproof Games 667362389,667362389,36,1,paid,2.99,5,33980,Games,273.7737284,1,09+,low
All Guns Blazing Mobile Gaming Studios 895498794,895498794,7,1,free,0,4.5,4797,Games,269.6108131,8,17+,med
Rush of Heroes Firefly Games Inc. 992049135,992049135,1,1,free,0,4,89,Games,268.792408,19,12+,low
Pages Apple 361309726,361309726,362,1,free,0,3.5,24761,other,265.8672647,31,04+,high
Surgeon Simulator Bossa Studios Ltd 814977594,814977594,101,1,paid,4.99,4,3911,Games,265.0418568,1,12+,med
"Zombies, Run! Six to Start 503519713",503519713,1,1,paid,0,4.5,4311,other,264.0233927,1,12+,med
SpongeBob Moves In Nickelodeon 576836614,576836614,33,1,free,0,4,16225,Games,263.090847,9,04+,low
SpongeBob Moves In Nickelodeon 576836614,576836614,11,1,paid,2.99,4,16227,Games,263.090847,9,04+,low
Monument Valley ustwo_ 728293409,728293409,32,1,paid,3.99,4.5,19157,Games,262.7783813,1,04+,med
Buddyman: Kick 2 (by Kick the Buddy) Crazylion Studios Limited 896177097,896177097,73,1,paid,0.99,4.5,1164,Games,262.5868845,1,12+,med
Trial Xtreme 4 Deemedya M.S. Ltd. 721639879,721639879,7,1,free,0,4,1259,Games,262.3836346,1,04+,med
Adventure Time Game Wizard - Draw Your Own Adventure Time Games Cartoon Network 934484238,934484238,14,1,paid,4.99,4,718,Games,261.4890985,11,09+,high
Heroki SEGA 1013818720,1013818720,4,1,paid,4.99,4,143,Games,258.0151815,1,09+,med
Run Sackboy! Run! PlayStation Mobile Inc. 914865605,914865605,9,1,free,0,4,1841,Games,255.801343,1,04+,med
Kingdom Rush Frontiers Ironhide S.A. 598581396,598581396,2,1,paid,2.99,4.5,5891,Games,255.7478971,1,09+,low
Real Boxing Vivid Games S.A. 534473264,534473264,89,1,free,0,4.5,16652,Games,248.9005547,5,12+,med
Shadowmatic TRIADA Studio 775888026,775888026,146,1,paid,2.99,4.5,3905,Games,245.5246506,13,04+,med
Table Tennis Touch Yakuto 860620713,860620713,3,1,paid,3.99,4.5,1080,Games,242.7534075,1,04+,med
Kingdom Rush Origins Ironhide S.A. 904737816,904737816,118,1,paid,2.99,5,3083,Games,241.1737566,1,09+,med
"HELLO HERO_ Fincon Co., Ltd. 708971624",708971624,2,1,free,0,4.5,6506,Games,240.7345123,1,09+,med
Table Top Racing Playrise Edge Ltd. 575160362,575160362,1,1,free,0,4.5,3001,Games,240.3833294,1,09+,low
Tobuscus Adventures: Wizards MoeSuckra Inc 916585802,916585802,7,1,paid,4.99,5,5830,Games,240.0789757,1,09+,med
Power Ping Pong Chillingo Ltd 766396167,766396167,7,1,paid,4.99,3.5,44,Games,237.8795881,2,04+,med
Reckless Racing 3 Pixelbite 882453590,882453590,2,1,paid,2.99,4,230,Games,236.611022,6,04+,med
Numbers Apple 361304891,361304891,362,1,free,0,3.5,8075,other,233.2024784,29,04+,high
Star Wars Scene Maker Disney 853282805,853282805,3,1,free,0,3.5,1127,Entertainment,232.9458656,12,09+,med
Kingdom Rush Ironhide S.A. 516378985,516378985,3,1,paid,0,5,10902,Games,232.825592,1,12+,NA
Machinarium Amanita Design 459189186,459189186,2,1,paid,4.99,4.5,7196,Games,232.5753727,1,12+,low
buddhify - mindfulness & meditation for modern life Mindfulness Everywhere 687421118,687421118,4,1,paid,4.99,4.5,332,other,231.7208891,1,04+,med
Skater. Frosch Media Pty. Ltd. 874845056,874845056,1,1,paid,4.99,4,485,Games,229.978652,1,04+,med
"Epic Zen Garden Epic Games, Inc. 915975445",915975445,4,1,free,0,3.5,1061,Entertainment,227.9186068,1,04+,high
Rooster Teeth vs. Zombiens Team Chaos LLC 932941157,932941157,4,1,paid,3.99,4,224,Games,227.3833933,1,12+,med
FRAMED Loveshack 886565180,886565180,9,1,paid,4.99,4.5,750,Games,224.5829134,12,12+,med
FRAMED Loveshack 886565180,886565180,1,1,free,0,4.5,749,Games,224.5829134,12,12+,med
Cars: Fast as Lightning Gameloft 638218744,638218744,8,1,free,0,4.5,10910,Games,224.1422567,15,04+,med
"The Path To Luma NRG Energy, Inc. 1017478824",1017478824,6,1,free,0,4.5,963,Games,223.7580662,1,04+,med
Red Bull Air Race The Game Red Bull 906605173,906605173,5,1,free,0,4,469,Games,222.6898756,1,04+,high
Tiny Guardians Kurechii 893448956,893448956,2,1,paid,3.99,4.5,652,Games,221.6780853,1,09+,low
Tomb Raider II SQUARE ENIX INC 871235562,871235562,9,1,paid,1.99,4,233,Games,221.5402784,7,12+,med
AirPano Travel Book AirPano.com 887138564,887138564,2,1,paid,2.99,4.5,249,other,219.4668751,32,04+,med
Breakneck Prodigy Design Limited T/A Sidhe Interactive 973784199,973784199,6,1,free,0,4.5,1405,Games,218.7974443,1,04+,high
My Friend Scooby-Doo! Warner Bros. 969592391,969592391,1,1,paid,2.99,3.5,71,Entertainment,218.1392107,8,04+,med
Goat Simulator MMO Simulator Coffee Stain Studios 977646169,977646169,11,1,paid,4.99,4.5,557,Games,217.6601334,1,09+,high
Horizon Chase - World Tour Aquiris Game Studio 991018252,991018252,9,1,paid,2.99,4.5,600,Games,217.6357832,6,04+,med
Block City Wars - Mine Mini Game Edition with skins exporter for minecraft Lora Flora 790203750,790203750,2,1,paid,0,4.5,5509,Games,213.3717813,1,17+,med
The Sims 3 Ambitions Electronic Arts 389204861,389204861,3,1,paid,4.99,3.5,13718,Games,211.0796661,9,12+,med
Entwined_ Challenge PlayStation Mobile Inc. 919658560,919658560,7,1,paid,0.99,4,76,Games,210.5224218,1,04+,med
"Camp Pok_mon THE POKEMON COMPANY INTERNATIONAL, INC. 919218502",919218502,6,1,free,0,4,1399,Entertainment,206.7893667,5,04+,med
"har_mo_ny 3 BorderLeap, LLC 982805507",982805507,2,1,paid,0.99,4.5,84,Games,205.4419718,10,04+,med
Doc McStuffins Pet Vet Disney 997811381,997811381,7,1,paid,4.99,3.5,56,Entertainment,205.4236908,1,04+,med
PAW Patrol Pups to the Rescue Nickelodeon 1015552271,1015552271,336,1,paid,2.99,2.5,5,other,202.673501,1,04+,med
Oceanhorn _ FDG Mobile Games GbR 708196645,708196645,5,1,paid,8.99,4.5,3640,Games,201.5124559,11,09+,low
"NBA All Net Kick9, Inc. 898765095",898765095,7,1,free,0,4.5,24785,Games,200.4175558,1,04+,med
PAW Patrol Rescue Run Nickelodeon 891453663,891453663,2,1,paid,3.99,2,99,other,199.552844,1,04+,med
Chronology: Time Changes Everything osao 880110462,880110462,4,1,free,0,3.5,590,Games,199.283968,7,04+,med
CounterSpy_ PlayStation Mobile Inc. 912920630,912920630,8,1,paid,4.99,3.5,219,Games,195.2068768,1,12+,med
Fallout Shelter Bethesda 991153141,991153141,312,1,free,0,4,87567,Games,195.1986656,5,12+,med
The Robot Factory by Tinybop Tinybop Inc. 936966605,936966605,7,1,paid,3.99,4.5,176,other,190.9965611,60,04+,med
Spy_Watch Bossa Studios Ltd 961677403,961677403,253,1,paid,1.99,2.5,74,Games,190.940505,1,12+,high
Mickeyês Shapes Sing-Along by Disney Imagicademy Disney 960928315,960928315,8,1,paid,2.99,4,22,other,190.0956306,1,04+,med
Storage: Auction Legends Everthrill 899607767,899607767,57,1,paid,1.99,3,597,Games,184.5716696,1,12+,low
Simple Machines by Tinybop Tinybop Inc. 936966570,936966570,8,1,paid,2.99,3.5,73,other,182.3037567,60,04+,med
Attack the Light - Steven Universe Light RPG Cartoon Network 941380906,941380906,248,1,paid,2.99,5,4739,Games,180.524354,11,09+,med
The Maze Runner _ Prodigy Design Limited T/A Sidhe Interactive 910738761,910738761,11,1,free,0,4,2727,Games,176.7919579,10,12+,low
"UNKILLED MADFINGER Games, a.s. 969488951",969488951,7,1,free,0,4,1031,Games,176.5944166,11,17+,high
Cutie Patootie - Welcome to Town Kids Games Club by TabTale 1010590042,1010590042,4,1,free,0,4,32,other,174.4064493,1,04+,med
Scribblenauts Remix Warner Bros. 444844790,444844790,76,1,paid,0.99,4.5,79801,Games,172.7984133,2,09+,low
Block Fortress Foursaken Media 586280100,586280100,219,1,paid,1.99,4.5,14345,Games,171.6019297,1,12+,low
Seeds & Mods for Minecraft PE - Best Pocket Edition Crafting Collection Anatoli Rastorgouev 1001355509,1001355509,1,1,paid,1.99,4,2808,Games,169.9901075,1,04+,med
The Sailorês Dream Simogo AB 895869909,895869909,8,1,paid,3.99,3.5,321,Games,169.9294453,1,12+,med
This is my Food - Nutrition for Kids urbn; pockets 987953868,987953868,6,1,paid,2.99,4.5,7,other,169.4056358,10,04+,high
"Card Dungeon Playtap Games, LLC 663601812",663601812,2,1,paid,3.99,3.5,202,Games,169.3250198,1,09+,med
"Joy of Cooking Culinate, Inc. 836333885",836333885,2,1,paid,7.99,4.5,142,other,169.1759272,1,04+,med
Blood & Glory: Immortals Glu Games Inc 824354676,824354676,6,1,free,0,4.5,2139,Games,166.8626833,13,12+,med
Peggle Classic PopCap 314303518,314303518,13,1,paid,0.99,4.5,21181,Games,166.2334175,5,04+,low
BADLAND Frogmind 535176909,535176909,326,1,paid,3.99,4.5,20216,Games,161.8843803,13,09+,med
Blaze and the Monster Machines Nickelodeon 907210971,907210971,178,1,paid,3.99,2.5,40,other,155.8257198,1,04+,med
