name,id,survival,type,price,releaseToDate,avgRate_current,rateCount_current,avgRate_all,rateCount_all,category,catPop,size,language,langNum,ageRate,system,systemCat,device,left_trunc,censored
Faded - Photo Editor Vintage Noir 626583252,626583252,3,paid,0.99,633,4.5,1579,4.5,21016,Photo & Video,Photo & Video,93.02597904, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Can Knockdown 3 Infinite Dreams Inc. 546630411,546630411,6,paid,1.99,850,5,27,4.5,970,Games,Games,92.96019745," English, Chinese, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish",11,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Coco Ice Princess Coco Play 943000735,943000735,113,free,0,265,3.5,51,3.5,298,Games,Games,92.87865734," English, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese",6,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Racing Rivals Cie Games 604186826,604186826,11,free,0,745,4,1023,4,47455,Games,Games,92.78783703," English, Arabic, French, German, Portuguese, Russian, Spanish, Turkish",8,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Trivia Crack Etermax 651510680,651510680,312,free,0,687,4,253,4.5,375455,Games,Games,92.75448513," English, Arabic, Bokm«l, Norwegian, Catalan, Danish, Dutch, Finnish, French, German, Greek, Icelandic, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",22,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Cooking Fever Nordcurrent 714796093,714796093,10,free,0,390,4.5,4732,4.5,55869,Games,Games,92.69124126," English, French, German, Indonesian, Italian, Japanese, Korean, Lithuanian, Malay, Portuguese, Russian, Simplified Chinese, Spanish",13,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
"Food Battle: The Game Defy Media, LLC 915834116",915834116,6,free,0,298,4,282,4.5,3864,Games,Games,92.67375374, English,1,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Buddyman: Kick 2 Free Crazylion Studios Limited 902364588,902364588,9,free,0,391,3.5,110,4,492,Games,Games,92.6247015, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Buddyman: Army Kick 2 Crazylion Studios Limited 911310874,911310874,10,free,0,317,4,117,4,156,Games,Games,92.60207653, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Boom Beach Supercell 672150402,672150402,178,free,0,536,4.5,14689,4.5,178637,Games,Games,92.50681591," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",13,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Boom Boom Football Hothead Games Inc. 910208432,910208432,3,free,0,4,4,175,3.5,925,Games,Games,92.44345474, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Epic Island Backflip Studios 761219885,761219885,1,free,0,354,4.5,318,4.5,1273,Games,Games,92.38402748, English,1,12+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Football Heroes PRO 2016 Run Games 927117171,927117171,6,free,0,291,4,171,4,1724,Games,Games,92.36700153, English,1,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
"FitStar Yoga FitStar, Inc. 936999508",936999508,3,free,0,278,4.5,77,4,516,Health & Fitness,other,92.35460281, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Cinderella Free Fall Disney 945566094,945566094,6,free,0,185,4,46,4.5,2424,Games,Games,92.27015877," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
myVEGAS Slots - Free Las Vegas Casino PlayStudios 714508224,714508224,300,free,0,677,4.5,1438,4.5,118352,Games,Games,92.24344921," English, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Slovenian, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese",19,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Frontline Commando: WW2 Shooter Glu Games Inc 794528098,794528098,8,free,0,151,4.5,566,4.5,2174,Games,Games,92.20528412," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese",13,17+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
SkyView¥ - Explore the Universe Terminal Eleven LLC 404990064,404990064,3,paid,1.99,1738,4.5,140,5,4400,Education,other,92.19689465, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Milo's Free Mini Games for a wippersnapper - Barn and Farm Animals Cartoon SubZeroApps 884729728,884729728,2,free,0,297,5,9,5,9,Games,Games,92.15081978," English, Bokm«l, Norwegian, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",23,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Spider-Man Unlimited Gameloft 674657235,674657235,16,free,0,368,4.5,1237,4.5,51653,Games,Games,91.94600964," Arabic, English, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",15,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
EvoCreo - A Monster Capture RPG Ilmfinity LLC 918997182,918997182,1,paid,0.99,129,4,5,4,126,Games,Games,91.93165207, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Temple Run: Oz Disney 595831580,595831580,128,paid,1.99,922,3.5,796,4,14060,Games,Games,91.81411839," English, Dutch, French, German, Italian, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Temple Run: Oz Disney 595831580,595831580,8,free,0,922,3.5,796,4,14059,Games,Games,91.81411839," English, Dutch, French, German, Italian, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Beach Buggy Racing Vector Unit 882119723,882119723,11,free,0,361,4,4,4.5,3139,Games,Games,91.80006981, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Heads Up! Warner Bros. 623592465,623592465,77,paid,0.99,864,4.5,59,4.5,6438,Games,Games,91.79567814," English, Spanish",2,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
Heads Up! Warner Bros. 623592465,623592465,12,free,0,864,4.5,60,4.5,6437,Games,Games,91.79567814," English, Spanish",2,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Olaf's Adventures Disney 894234843,894234843,6,paid,0,367,4,5,3.5,496,Entertainment,Entertainment,91.76830292," English, Danish, Dutch, French, German, Japanese, Norwegian, Spanish",8,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Rayman Fiesta Run Ubisoft 657811530,657811530,10,paid,2.99,675,4.5,33,4.5,3177,Games,Games,91.72082901," English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",13,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Pirate Kings Jelly Button Games Ltd 654671575,654671575,49,free,0,668,4.5,254,4.5,9042,Games,Games,91.61618328, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Buddyman: Office Kick 2 Crazylion Studios Limited 906751551,906751551,4,free,0,382,4.5,16,4,93,Games,Games,91.55600834, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",0,1
"Etherlords (Arena) NIVAL, INC. 808158334",808158334,3,free,0,375,4,203,4.5,2438,Games,Games,91.51836586," English, French, German, Portuguese, Russian, Spanish",6,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
"Facebook Facebook, Inc. 284882215",284882215,373,free,0,2620,3,3080,3.5,2895555,Social Networking,other,91.47166634," Bokm«l, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese, Zulu",26,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",0,0
Z Fighters Lutong Zhou 952941839,952941839,1,free,0,114,4,423,4.5,2272,Games,Games,91.32824802, English,1,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Blendimals Exploding Cow ApS 738561911,738561911,2,paid,2.99,130,3,2,4.5,54,Games,Games,91.02854061, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Twisty Hollow Arkadium 920825208,920825208,3,free,0,317,4,1046,4,1060,Games,Games,91.01810455," English, Czech, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",16,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Moments _ Get the photos you didn't take Facebook, Inc. 991346515",991346515,2,free,0,90,4.5,28,3.5,111,Photo & Video,Photo & Video,90.98420525," English, Bokm«l, Norwegian, Czech, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese, Zulu",27,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
PNP - Portable North Pole 2014 UGroupMedia inc 902026228,902026228,6,free,0,285,4,70,3,457,Entertainment,Entertainment,90.94725037," English, French, German, Japanese, Korean, Polish, Simplified Chinese, Spanish, Traditional Chinese",9,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Google+ Google, Inc. 447119634",447119634,1,free,0,1517,4.5,213,4.5,68942,Social Networking,other,90.86559486," English, Arabic, Catalan, Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Polish, Portuguese, Romanian, Russian, Slovak, Spanish, Swedish, Thai, Turkish, Ukrainian, Vietnamese",31,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Gang Nations Playdemic 885405524,885405524,4,free,0,214,4.5,621,4.5,9118,Games,Games,90.83495712," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",13,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
My New Baby Genera Kids 821470238,821470238,1,free,0,535,4,219,4,3821,Games,Games,90.81256676, English,1,04+,iOS 4,old,"iPhone, iPad, and iPod touch.",0,1
My Om Nom ZeptoLab UK Limited 942990867,942990867,22,paid,4.99,269,3.5,14,4.5,1577,Games,Games,90.8092947," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish",11,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Sago Mini Toolbox Sago Sago 891755554,891755554,8,paid,2.99,150,4,8,3.5,39,Education,other,90.78402233, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Subway Surfers Kiloo 512939461,512939461,10,free,0,1207,4,505,4.5,620322,Games,Games,90.64544773, English,1,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
Paradise Bay King.com Limited 885661130,885661130,18,free,0,39,4,453,4,6166,Games,Games,90.28841496," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",13,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Toca Life: Town Toca Boca AB 871694174,871694174,94,paid,2.99,472,3.5,15,4.5,2330,Education,other,90.25453472, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Age of Warriors - Warlords of Elantra Funcell 123 690346667,690346667,4,free,0,601,4.5,118,4.5,2860,Games,Games,90.17119312," English, Bokm«l, Norwegian, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",31,09+,iOS 4,old,"iPhone, iPad, and iPod touch.",1,1
Inside Out Thought Bubbles Disney 918780702,918780702,46,free,0,87,4.5,250,4.5,12142,Games,Games,90.10513973," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish",9,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
My Talking Angela Outfit7 Limited 909351158,909351158,122,free,0,284,4,831,4.5,28519,Games,Games,89.91893291," English, Arabic, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish",12,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Pocket Yoga Rainfrog, LLC 347400507",347400507,1,paid,2.99,2003,5,6,4.5,4201,Health & Fitness,other,89.70916176, English,1,04+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
Frozen Free Fall Disney 692412579,692412579,21,free,0,661,4,204,4.5,42757,Games,Games,89.37066841," English, French, German, Indonesian, Italian, Japanese, Portuguese, Russian, Spanish",9,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",0,1
Score! Hero First Touch Games Ltd. 847492141,847492141,7,free,0,39,5,946,4.5,21187,Games,Games,89.36670685," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Spanish, Turkish",10,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
PBR: Raging Bulls RED Interactive Agency 917715692,917715692,3,free,0,339,4.5,338,4.5,730,Games,Games,89.30594635, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Flight Pilot Simulator 3D by Fun Games For Free Fun Games For Free 959619034,959619034,7,free,0,202,5,3766,5,20720,Games,Games,89.20146942, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
"Duck Commander: Duck Defense Activision Publishing, Inc. 918235183",918235183,4,paid,1.99,304,4.5,43,4.5,43,Games,Games,89.16434669, English,1,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Dr. Pandas Swimming Pool Dr. Panda Ltd 916130071,916130071,1,paid,1.99,241,4,47,4.5,259,Education,other,89.11620903," English, Chinese, Danish, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Swedish, Turkish",16,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Basketball Showdown 2015 Naquatic LLC 975478665,975478665,8,free,0,136,4.5,1845,4.5,19306,Games,Games,89.04199123, English,1,04+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
"Terraria 505 Games (US), Inc. 640364616",640364616,373,paid,4.99,745,4.5,3157,4.5,66617,Games,Games,88.99129677," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",10,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",0,0
My new baby 2 - Twins! Genera Kids 888641355,888641355,3,free,0,334,4,228,4,1397,Games,Games,88.96546745, English,1,04+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Contract Killer: Sniper Glu Games Inc 789839298,789839298,22,free,0,312,4.5,1416,4.5,12015,Games,Games,88.96142292," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese",13,17+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Angry Birds Go! Rovio Entertainment Ltd 642821482,642821482,2,free,0,641,4,320,4,65900,Games,Games,88.94945049," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish",10,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Project Life Becky Higgins LLC 915861546,915861546,21,paid,0.99,360,4.5,3,4.5,452,Photo & Video,Photo & Video,88.93535614," English, Bokm«l, Norwegian, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Traditional Chinese, Turkish",25,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
DomiNations NEXON M Inc. 922558758,922558758,8,free,0,165,4,92,4.5,25914,Games,Games,88.62044621," English, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Slovenian, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese",19,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Pixelmator Pixelmator Team 924695435,924695435,9,paid,4.99,324,4,8,4,728,Photo & Video,Photo & Video,88.57332039," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,04+,iOS 9,new,"iPhone, iPad, and iPod touch.",1,1
Fortress Fury XREAL LLC 941479100,941479100,2,free,0,123,4.5,665,4.5,4728,Games,Games,88.30281639," English, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Slovenian, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese",19,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Ski Safari 2 Sleepy Z Studios Pty Ltd 952555810,952555810,13,paid,1.99,17,4,22,4.5,258,Games,Games,88.21768665, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Invasion: Online War Game Tap4Fun 949785353,949785353,2,free,0,199,4,31,4.5,1716,Games,Games,88.19000721," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Jelly Jump Ketchapp 955327604,955327604,39,free,0,199,4.5,1896,4.5,35931,Games,Games,88.09070587, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Buddyman: Ninja Kick 2 Crazylion Studios Limited 915341223,915341223,171,free,0,317,4,230,4,557,Games,Games,88.08743477, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
PCH Lotto Blast Publishers Clearing House 879181060,879181060,1,free,0,291,4.5,116,4.5,1791,Games,Games,88.07601357, English,1,17+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
"Escape Alcatraz - Devious Escape Puzzler FreshGames, LLC 803125719",803125719,4,free,0,9,3.5,272,3.5,273,Games,Games,87.87664223, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Kindle _ Read Books, eBooks, Magazines, Newspapers & Textbooks AMZN Mobile LLC 302584613",302584613,132,free,0,2384,4.5,1264,3.5,213510,Book,other,87.83035851," English, Chinese, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Spanish",10,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Elevate - Brain Training Elevate, Inc. 875063456",875063456,8,free,0,479,4.5,142,5,43878,Education,other,87.76397133," English, Arabic, Bokm«l, Norwegian, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Nynorsk, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",33,04+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
Toy Blast Peak Games 890378044,890378044,4,free,0,250,4.5,173,4.5,8655,Games,Games,87.66964436, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Demi Lovato: Path to Fame Episode Interactive 1001358880,1001358880,6,free,0,32,4.5,530,4.5,2793,Games,Games,87.65301895, English,1,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Rhonna Designs Rhonna Farrer 667819594,667819594,1,paid,1.99,799,5,2,4.5,2815,Photo & Video,Photo & Video,87.47655392," English, Bokm«l, Norwegian, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Traditional Chinese, Turkish",25,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Sing! Karaoke by Smule Smule 509993510,509993510,61,free,0,1131,4.5,1037,4.5,92062,Music,other,87.38408089," English, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",11,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Angry Birds 2 Rovio Entertainment Ltd 880047117,880047117,46,free,0,45,4,2189,4,46361,Games,Games,87.35836506," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish",10,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Bloons TD 5 Ninja Kiwi 563718995,563718995,152,paid,2.99,1032,4.5,499,4.5,36944,Games,Games,87.32353497," English, Arabic, Danish, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Spanish, Swedish, Turkish",15,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
Tap Sports Football Glu Games Inc 978754980,978754980,8,free,0,33,4,65,3.5,1739,Games,Games,86.96109009, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Runway Life Pocket Gems, Inc. 904764772",904764772,4,free,0,312,4.5,75,4,5389,Games,Games,86.93005657, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Cut the Rope 2 ZeptoLab UK Limited 681814050,681814050,9,paid,0.99,633,4,20,4.5,9836,Games,Games,86.92069626," English, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Spanish, Turkish",10,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Star Wars: Commander - Worlds in Conflict Disney 847985808,847985808,18,free,0,388,4.5,1053,4.5,229290,Games,Games,86.91124725," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",0,1
Episode - Choose Your Story Episode Interactive 656971078,656971078,1,free,0,634,4.5,1056,4,47973,Games,Games,86.8374424, English,1,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Race Day - Multiplayer Racing Bertheussen IT 777532831,777532831,4,free,0,285,5,34,4.5,755,Games,Games,86.79304123, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Gummy Drop! Big Fish Games, Inc 828578246",828578246,6,free,0,370,4.5,6,4.5,25855,Games,Games,86.63883877," Dutch, English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish",10,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
FarmVille 2: Country Escape Zynga Inc. 824318267,824318267,7,free,0,514,3.5,1031,4,101866,Games,Games,86.31397152," English, Bokm«l, Norwegian, Danish, Dutch, French, German, Indonesian, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",17,12+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Clumsy Ninja NaturalMotion 561416817,561416817,1,free,0,661,4.5,1443,4.5,107759,Games,Games,86.27791977," English, French, German, Italian, Spanish",5,04+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
World Craft - Dream Island Bunbo Games 965137032,965137032,2,free,0,211,3,84,2.5,383,Games,Games,86.25908756, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Toca Life: City Toca Boca AB 988318940,988318940,340,paid,2.99,80,4.5,360,4.5,1569,Education,other,86.07884693," English, Chinese, Danish, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Spanish, Swedish, Thai, Turkish",17,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Explore Daniel Tiger's Neighborhood PBS KIDS 1027419374,1027419374,10,paid,2.99,17,4,34,4,34,Education,other,86.05644035, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Yoga Studio Modern Lotus 567767430,567767430,61,paid,3.99,1055,5,207,5,17511,Health & Fitness,other,86.02114296, English,1,04+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
New Emoji - Extra Emoji Stickers Emoji Apps GmbH 970416885,970416885,213,paid,1.99,182,1,14,1.5,149,Utilities,Utilities,85.8882246," English, German",2,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Criminal Case Pretty Simple 767473889,767473889,52,free,0,381,4.5,187,4.5,37595,Games,Games,85.77917862," English, French, German, Indonesian, Italian, Portuguese, Spanish, Turkish",8,12+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",0,1
Sky Whale Nickelodeon 969247886,969247886,2,free,0,11,NA,NA,4.5,1409,Games,Games,85.72370625,English,1,04+,iOS 7,med,iPhone,1,1
Borderline - Life On The Line Crazy Labs 924870826,924870826,8,free,0,249,4.5,16,4.5,2151,Games,Games,85.59774113, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Tap Sports Baseball 2015 Glu Games Inc 952758849,952758849,4,free,0,166,4.5,1740,4.5,12626,Games,Games,85.58168125," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese",13,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Bruce Lee: Enter the Game Hibernum Creations Inc. 895463178,895463178,6,free,0,290,4.5,423,4.5,1776,Games,Games,85.56308365," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish",11,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Bike Race Pro Top Free Games 510461370,510461370,240,paid,0.99,1153,4.5,93,4.5,18587,Games,Games,85.47336864," English, Japanese, Korean",3,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
Kill Shot Hothead Games Inc. 839703707,839703707,61,free,0,354,4.5,538,4.5,38964,Games,Games,85.4260397," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",13,17+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Bitpoem - Photo Filters and Effects - formerly known as Exposure Bitpoem 504139083,504139083,7,paid,1.99,325,NA,NA,3.5,66,Photo & Video,Photo & Video,85.42035961," English, Portuguese",2,04+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
